title	call_to_action_label	call_to_action_explanation
Mortality Insights	None	The announcement is merely sharing information about the Government Actuary’s Department (GAD) analysis on COVID-19 mortality and the impact of the vaccination programme. It does not urge, encourage, or advise the readers or the public to take any specific action. The excerpt primarily focuses on explaining the areas of study and the results obtained, rather than directing the readers towards any actionable measures.
COVID-19 vaccines: further evidence of success	Strong	The announcement strongly urges the public to get vaccinated, highlighting the significant reduction in risk of serious illness, hospitalization, and death from COVID-19 following vaccination. This is conveyed through statements like “The findings highlight the importance of people completing their vaccination course” and the quotes from Matt Hancock, Mary Ramsay, and Nadhim Zahawi. The call to action is further emphasized by the benefits of vaccines presented in terms of risk reduction and protection levels.
New measures to boost response to the B1.617.2 variant	Strong	In this announcement, the government strongly urges the public to take several actions due to the rapid spread of the B1.617.2 variant. They directly address the public, asking them to participate in surge testing, follow the rules, receive a vaccination when eligible, and remain vigilant. In addition, people in 15 specific areas are instructed to make sure they get a free PCR test. Further, residents are asked to follow regional public health advice and to take 2 free rapid tests per week. All these statements show an immediate need and make a compelling appeal to the public to act.
New film launched urging public to get flu and COVID-19 vaccines	Strong	The government announcement strongly urges the public to take immediate action by getting flu and COVID-19 booster vaccines. The announcement uses phrases like "those eligible for the free flu vaccine and COVID-19 booster jab are being urged to book their appointments as soon as possible", "It is vital we continue that incredible progress with all those eligible ensuring they get both their flu and COVID-19 booster injections as soon as they are invited", and "it’s important anyone eligible comes forward for a flu vaccine as soon as possible and books in their booster when they are invited". The language is direct, compelling and aimed specifically at the public, making this a strong call to action.
Defence steps up support to vaccine programme	Moderate	There is a moderate call to action in this announcement where the Health and Social Care Secretary encourages the public to get boosted to top-up their immunity and keep themselves safe. The language used is not decisive or urging immediate action but suggests the importance of taking the booster shot. The primary focus of the announcement, however, is to inform the public about the availability of the Armed Forces personnel to support the vaccine booster programme.
Temporary medical exemptions for COVID-19 vaccination of people working or deployed in care homes	Moderate	The government announcement encourages individuals working in care homes and who have valid medical exemptions to self-certify their vaccine exemption status. This is to be done by signing one of the provided forms and delivering the proof to their employers. Although the call to action is directed at a specific group, it suggests the importance of following this temporary measure until the NHS COVID Pass system is introduced. While urgency is implied, the language used is not commanding or strongly urging, hence a classification as a moderate call to action.
UK begins donating millions of COVID-19 vaccines overseas	None	In this announcement, the emphasis is on delivering information regarding the UK's planned donations of the COVID-19 vaccine to international countries and to the COVAX facility. There is no direct, explicit request or encouragement for the public or reader to take any specific action in response to this information. The main objective seems to be to ensure public awareness of the vaccine rollout efforts and the UK's commitment to assisting other countries.
New advertising drive calling on young people to Get Boosted Now	Strong	The announcement strongly advocates for individuals aged 18 to 34 to get their COVID-19 booster jabs, underlining the urgency with words such as "Get Boosted Now". The message is conveyed several times by different figures including a frontline doctor, the Health and Social Care Secretary, and the Vaccines Minister for a diversified emphasis on the call to action. Initiatives like the Snapchat filter and partnerships with various entities are also launched to engage and motivate the target audience effectively. Moreover, the informative data provided on the effectiveness of the booster doses serves to instill a sense of urgency in the targeted demographic.
Health charities back vaccines drive for those at risk	Strong	The announcement continuously emphasizes the importance of vaccination for people with underlying health conditions and carers, directly calling these groups to take action by booking their vaccination appointment through the national booking system or by calling 119. The action is advocated not only for their own protection but also for the safety of those around them. The urgency and repeated references make this call to action very strong. Examples of this include direct statements such as, "Please come forward to have the jab. It will help save lives and offers the best form of protection from this terrible virus."
Millions of people get boosted against COVID-19	Moderate	The announcement urges eligible individuals to come forward for their flu vaccine, highlighting the importance of doing so through the example of the successful COVID-19 autumn booster drive. Moreover, it advises people feeling unwell to stay at home and avoid visiting vulnerable individuals. But these calls to action are not presented with strong urgency or direct language, thus it's a moderate call to action.
Most vulnerable to be offered spring COVID-19 booster	Moderate	The announcement provides some level of direction towards action, primarily targeting individuals who are eligible for the spring booster program. Specifically, statements such as "Eligible individuals will be offered the vaccine," "The vaccine offered will depend on a person’s age and local supply considerations," and "I would encourage everyone who is eligible to come forward once the booster programme starts" suggest active participation from the public. However, the call to action is not presented with strong urgency or direct commands, so the language of encouragement and suggestion makes this a moderate call to action.
Business Secretary urges Surrey residents to come forward for vaccine after virtual visit	Moderate	The call to action is embedded in the statement, "To those who have been invited but haven’t yet come forward, please do so as soon as you can." This sentence prompts a certain part of the public who have received their invite for the vaccine to take action, suggesting a sense of urgency but not using particularly strong or compelling language.
PHE study shows three-quarters of over 70s have COVID-19 antibodies	None	This government announcement does not contain any explicit call to action directed at the public or reader. Its main focus is on sharing information and data regarding the COVID-19 immunisation programme and the effectiveness of the vaccine, particularly among older adults. There are no direct suggestions or urges for the public to take a specific action such as getting vaccinated, following certain guidelines, or any other participatory actions.
More than 137,000 people in UK receive first dose of COVID vaccine in one week	None	The announcement is primarily informational, detailing the progress of the vaccination rollout, the groups that have been primarily targeted, the number of vaccinations that have been administered, the planned expansion of the programme, and other related data. It does not directly urge or request the public or the reader to take any specific action, whether it comes to getting vaccinated, following certain guidelines, or doing anything else. Instead, the focus is on the actions that have already been taken by the government and NHS, and what they plan to do in the future.
New campaign launched urging pregnant women to Get Boosted Now	Strong	The announcement is filled with strong direct appeals for pregnant women to get vaccinated as part of the new year advertising campaign. Messages such as "Get Boosted Now," "don't wait to take the vaccine," "We urge all pregnant women to get vaccinated as soon as possible," and "book in your vaccine as soon as you can" are clear and assertive calls to action. The language is compelling and the urgency is unambiguous, especially in the context of the evidence presented about the risks of unvaccinated pregnant women contracting COVID-19. The announcement uses several persuasive techniques, including testimonies and endorsements from healthcare professionals, to convince the public to act immediately.
Health and Social Care Secretary accepts JCVI advice on autumn booster programme	Moderate	The announcement encourages the public to take action by getting their COVID-19 booster and flu vaccinations, especially if they belong to the specified vulnerable groups. The language used is not extremely imperative or pressing, but it suggests the importance of these actions for their own protection and the reduction of pressure on the NHS. The sentence "If you or your child are eligible for a COVID-19 or flu vaccine, I urge you to come forward as soon as you are invited by the NHS." specifically conveys this call to action.
People urged to get COVID-19 boosters as almost 10 million people jabbed	Strong	The announcement contains multiple strong calls to action directed at the public. Secretary Sajid Javid directly calls on families and friends to support their loved ones in getting vaccinated. This call to action is specified as urgent, making it more immediate and compelling. Further, there are repeated instructions for people who are eligible for the vaccine to book their appointments as soon as they can and for those who are not yet vaccinated to get their first and second doses. The language used, such as "I strongly urge" and "please help," further emphasis the strong call to action. Even the mention of the National Booking Service and walk-in clinics is directed towards enabling the public to act on the vaccination call to action. Overall, this announcement definitely exemplifies a strong call to action.
Uber, Bolt and Deliveroo help drive vaccine uptake	Strong	The announcement strongly urges young people to get vaccinated against COVID-19 by highlighting the multiple initiatives in place to reward vaccination. Multiple direct phrases and strong calls to get the jab are used, such as 'Young people urged to get jab', 'Once available, please go out and take advantage of the discounts', 'As cities open up, we all need to proceed with caution and ensure that all adults are vaccinated against COVID-19', and 'please get your jabs as soon as you can and grab a bargain'. This demonstrates a strong call to action directed at the public to be proactive and get vaccinated.
Health Secretary's oral statement to Parliament on COVID-19 and Plan B	Moderate	The announcement contains several lines that suggest, encourage, and instruct members of the public to take certain actions amidst the COVID-19 pandemic. These include instructions to avail of the booster dose, work from home if possible, participate in daily tests if needed, follow safety measures such as wearing masks, and adhere to certification requirements at nightclubs and large events. However, the tone of these instructions is presented more as a guidance than a strong, immediate appeal.
Temporary waiver of 15-minute observation period after COVID-19 mRNA vaccines	Strong	The announcement makes a strong call to action toward the end of the text. Professor Sir Munir Pirmohamed encourages individuals who haven't received the COVID-19 vaccine doses to come forward as soon as they are able to. While the text also includes elements of patient safety information and assurance provided by the MHRA Chief Executive, the key emphasis is on the urgent need to act now in receiving the vaccine, especially in light of the rapid spread of the Omicron variant. This is directly aimed at the public with an urging and compelling tone, supporting the strong call to action label.
Kicking COVID into touch: rugby stars support vaccine roll-out	Strong	Throughout the announcement, there are direct and compelling calls to action urging the public, particularly the younger demographic and sports fans, to get their COVID-19 vaccine. This is evident in statements by the rugby players, health and social care secretary, and the vaccines minister, all strongly urging people to take their COVID-19 vaccine to protect themselves and those around them. Their calls to action are centered on the benefits of the vaccine, personal stories, and the necessity for fans to help keep stadiums safe and sports events happening, creating a strong sense of urgency and immediacy.
JCVI advice to mitigate impact of B1.617.2 variant	Moderate	The announcement encourages action but does not do so with extreme urgency or compelling language. It advises the public to promote vaccine uptake in unvaccinated individuals of priority groups 1 to 9, while also mentioning the possibility of bringing forward the second dose of the vaccine. Nonetheless, the language used isn't directly enforcing or pushing these actions, making it a moderate call to action.
Employers unite to encourage over a million staff to get the COVID-19 vaccine	Strong	The announcement strongly urges all UK businesses, organisations and industry bodies to promote the COVID-19 vaccination and encourage their staff to get vaccinated when eligible. This is evident in the Health and Social Care Secretary's statement, "I urge everyone to get their vaccines when they get the call so we can beat this pandemic together." There's also a direct call to action by Vaccine Deployment Minister Nadhim Zahawi, who requests every UK business, regardless of size, to encourage their employees to receive the vaccine.
UK vaccine swap with South Korea in joint effort against COVID-19	None	This government announcement informs about the vaccine swap initiative between the UK and the Republic of Korea and the ongoing donation of vaccines to various nations, but at no point does it ask or suggest the public to take a specific action. The announcement is more focused on providing information about the government's actions and plans rather than urging readers to participate or respond in any way.
15-minute observation period after vaccine temporarily suspended to speed up booster rollout	Moderate	The announcement encourages the public to get vaccinated as soon as possible and to report any side effects after vaccination to the “Coronavirus Yellow Card website”. Furthermore, it recommends important guidelines to people getting vaccinated, such as avoiding leaving the centre if they feel unwell, telling the centre about their history of allergies, not driving for 15 minutes after receiving the vaccine, etc. Although the language isn’t overly compelling or urgent, it repeatedly calls for public participation in the response to the Omicron variant. Therefore, it's considered a 'Moderate'.
Review of measures for COVID-19 and flu vaccine programmes	None	The main purpose of this announcement is to inform the public about the government's plans and actions concerning the continuation of temporary measures put in place during the pandemic to facilitate the vaccine roll out. The announcement does not directly implore the reader to take an action, making it a None announcement.
More than 85 million COVID-19 vaccines administered in UK	Strong	The government announcement consistently urges its readers to get vaccinated as soon as possible. It maintains a strong emphasis on this call to action throughout the text, stressing the significant protective benefits of the vaccine against hospitalisation from the delta variant. Phrases like "please get both of your jabs if you haven’t already to protect yourself and your loved ones" and "I urge everybody to get their jabs so we can carry on doing the things we’ve missed" display a strong call to action. It also informs readers about the need to show proof of both vaccine doses to enter certain places from the end of September, reinforcing the urgency and need for action.
First bivalent COVID-19 booster vaccine approved by UK medicines regulator	None	This announcement details the approval and characteristics of a new variation of the Moderna COVID-19 vaccine, but does not make any direct appeal to the public or reader to take specific action. The statement focuses mostly on providing information about the safety and effectiveness of this new vaccine, while outlining the role of various health regulatory bodies in its assessment and approval. There's no direct or implied suggestion for the public to get vaccinated or act upon this information in any specified way.
Booster bookings to be opened a month early	Strong	Throughout the announcement, the government uses strong, direct language to compel the public to act, particularly in reference to getting COVID-19 booster shots and flu vaccines. It uses phrases like "Please do not delay – come and get the jab to keep the virus at bay," "I encourage everybody eligible...to book your jab as soon as possible," and "the most important thing you can do is come forward for both your COVID booster and flu jab as soon as possible." The use of words such as "please", "encourage", and phrases like "most important thing you can do" all serve as strong calls to action intended to motivate immediate public response.
Boosters continue to provide high levels of protection against severe disease from Omicron in older adults	Moderate	The announcement encourages the general public to take action but does not create a sense of extreme urgency. It communicates the importance of both unvaccinated individuals getting their first two doses of the vaccine and others receiving their booster doses. The use of phrases like "should come forward", "priority should continue" and "I encourage everyone" suggest the public needs to participate but the language is not exceedingly forceful or compelling.
Over 600,000 people get first dose of Pfizer/BioNTech vaccine	None	This is a purely informative government announcement regarding the COVID-19 vaccine rollout in the UK. The announcement does not contain any specific request or urging for the public or reader to take any kind of action. It does not ask readers to do something or change their behavior in any way. Instead, it is focused on providing information about the progress of the vaccination program, plans for future vaccinations, and details about how vaccination data is gathered and managed in the UK.
New vaccine uptake plan published	Moderate	The government announcement does not directly demand immediate action from the public or reader, rather it employs a moderate, carefully crafted language to encourage participation in the vaccination program. Statements such as "We are setting out our plan to make sure everyone is protected equally","make sure as many people as possible take up the offer of a lifesaving vaccination", and "encourage everyone to get vaccinated" are examples of this moderate call to action. In addition, case studies are presented to provide examples of how community participation can increase the success of the vaccination program, suggesting a similar role for the wider public, while not explicitly commanding immediate action.
More than 25 million people in the UK have received their first dose of a COVID-19 vaccine.	Moderate	The announcement includes a moderate call to action, directing the public to follow the current guidelines and to take the vaccine when it is offered to them. Specifically in the words of the Health Secretary, “So let’s stick with it, follow the rules, and when you get the call, get the jab.” While the language is not overly urgent or pushing immediate action, it subtly encourages participation in the vaccination program and adherence to restrictions to continue progress against the virus. The rest of the announcement focuses on providing additional information and context but does not further strengthen the call to action.
Second bivalent COVID-19 booster vaccine from Moderna (Spikevax) authorised by UK medicines regulator	None	The announcement primarily informs about the new vaccine variant's approval, describing its characteristics, the process of authorization, the associated benefits and safety data, and the role of regulatory bodies. There is no direct appeal or recommendation for the public to take a specific action, such as getting the new vaccine or following certain guidelines.
JCVI advises prioritising homeless people and rough sleepers for COVID-19 vaccine	None	The announcement focuses on informing the public about the decision of the Joint Committee on Vaccination and Immunisation (JCVI) and the strategy for vaccinating the homeless and rough sleepers. It outlines government actions and plans but does not explicitly ask the reader or the public to act in a certain way. Therefore, there is no call to action directed at the public or reader in this government announcement.
Uganda benefits from UK COVID-19 vaccines donation	Weak	The announcement highlights the actions and efforts of the UK Government, COVAX, AstraZeneca, and other partners in providing vaccines worldwide, particularly to lower-income countries. However, the call to action directed to the public or reader is less explicit. There are implied appeals to international community to share vaccines and continue supporting this mission. Dr. Munir Safieldin's statement, "I urge other countries to share more vaccines with middle- and low-income countries. No one is safe until everyone is safe." suggests a call for collective effort, but these sentiments are not strongly emphasized or directed at the public in an urgent manner. Therefore, the call to action can be considered weak in this announcement.
Nightlife industry joins COVID-19 vaccine push for young people	Strong	The announcement continuously implores the reader to get vaccinated, clearly stating the benefits of getting the vaccine; such as to protect themselves and others, to keep the nightlife industry open, to regain lost freedoms, and to return to enjoying the activities they've missed. Direct call-to-action phrases are used throughout the announcement, such as "get a COVID-19 vaccine", "book in for your first and second dose", "get both doses without delay" and "get both of your jabs". Important information on how to book a vaccine is provided, and it is mentioned that venues will start requiring patrons to be double vaccinated from September, giving a sense of urgency. Therefore, this announcement shows a strong call to action for the public to get their COVID-19 vaccine.
Over 7 million people in the UK receive COVID-19 booster jabs	Strong	The announcement contains direct, compelling language urging the public to take immediate action. It repeatedly appeals to those eligible for the COVID-19 booster jab to get vaccinated as soon as possible. The public is also encouraged to book their flu vaccines if they are eligible, and people who are yet to receive their first or second COVID-19 jab are implored to schedule them soon. The frequent emphasis on urgent action and the use of powerful language such as "I urge everyone eligible to get their booster as soon as they can" and "make sure to book it as soon as possible" indicates a strong call to action.
New film shows Martin Kemp as Father Christmas in vaccine drive	Strong	The announcement consistently and strongly encourages the public to take immediate action in getting the COVID-19 vaccine and booster jab. It employs phrases such as "Now go book your jabs", "Martin Kemp urges people to get their jabs", "I can’t stress enough how important it is to tick your COVID-19 booster or flu jab off your ‘to do’ list this festive season", and "I encourage everybody to come forward to protect yourself and those around you" that directly propose immediate actions to the public. Furthermore, a sense of urgency is created through points such as increasing efficiency of vaccinations considering the new variant of COVID-19, the approaching winter season, and the celebratory occasion of Christmas.
NHS and social care funding	Weak	The announcement does not contain any direct commands or appeals to the reader. However, there are subtle invitations for the public to continue support for the vaccine roll-out and to uphold faith in the measures taken by the government and NHS. The speaker has given reassurances to not delay second doses and alluded to the public's responsibility to go for their second dose. There are also indirect calls towards good social behaviour, such as people looking out for each other's mental health. However, as these calls are not explicit, hence, it gets categorised as a weak call to action.
Government accepts JCVI advice on COVID-19 vaccination programme	Strong	The announcement strongly encourages the public or reader to take immediate action. The health secretary directly appeals to everyone by stating 'we urge everybody to play their part.' The specific action called for is to receive their COVID-19 vaccines and booster doses 'as soon as possible.' This language shows the need and urgency for public participation in combating the virus which makes this a strong call to action.
Pregnant women urged to come forward for COVID-19 vaccination	Strong	The announcement strongly urges pregnant women to get vaccinated against COVID-19, emphasizing the substantial risks of severe illness and complications for both the pregnant women and their babies if they contract COVID-19. The announcement repeatedly and directly encourages pregnant women to come forward and get vaccinated, even urging the government to prioritize pregnant women in the vaccination queue. It emphasizes the importance of the first, second, or booster vaccine doses and declares that being vaccinated is the best way to protect oneself and one's baby. The announcement also requests professional groups, charities, and local community leaders to help the efforts to raise vaccine uptake in pregnant women.
JCVI issues updated advice on COVID-19 booster vaccination	Moderate	In the announcement, the government moderately encourages the public, specifically the vulnerable populations, to take action. This includes taking the booster vaccine, especially those who were vaccinated during Phase 1 of the vaccine program, and also to take the annual flu vaccine. However, the language used isn't forceful or urgently compelling, hence the moderate label.
Amazon, Sky and Molson Coors back vaccine rollout campaign	Moderate	The announcement urges the public to get vaccinated but the immediacy or urgency in the tone is not very evident. The communication is more of a motivation or encouragement for businesses and individuals to participate in vaccination. Key phrases such as "calling on every employer in the UK to join us", "Our best chance of living with this virus safely is by working together", "Vaccines are available free of charge and from thousands of vaccine centres" suggest an emphasis on the importance of vaccination, yet it falls short of using compelling or forceful language to ensure immediate action.
First people to receive Oxford University/AstraZeneca COVID-19 vaccine today	Moderate	The announcement provides substantial information about the plans for the COVID-19 vaccine rollout with a certain focus on obedience to restrictions. The direct call to action, made by Health Secretary Matt Hancock, 'urge[s] everybody to continue following the restrictions so we can keep cases down and protect our loved ones'. Here, he encourages the public to adhere to regulations, suggesting a measure of urgency for their compliance, but this call to action does not appear to be the central focus of the announcement. Hence, the call to action is considered moderate.
Summit to build global confidence in vaccines to be convened by the UK Government	None	The given announcement does not ask or implore the public or the reader to take any specific action. Instead, it focuses on the information about the upcoming Global Vaccine Confidence Summit that the UK Government will convene. There's no explicit directive or suggestion for the reader to do something specific, rather it describes the government's steps, plans, and efforts to tackle vaccine misinformation and improve vaccine confidence globally.
Letter to the profession from the UK Chief Medical Officers on the UK COVID-19 vaccination programmes	None	The announcement does not provide any specific details about what the public or reader should do. It only states that a letter has been written by the UK Chief Medical Officers about the COVID-19 vaccination programmes. Therefore, there is no call to action for the public or reader.
More than 20 million UK adults receive both doses of COVID-19 vaccine	Strong	The announcement repeatedly urges the public to receive their second dose of the COVID-19 vaccine as soon as they are eligible. Statements such as "Receiving a second dose is vital to ensure you have the ultimate protection from this deadly virus - I encourage everyone to book their jab as soon as they are offered it" and "It’s time to redouble our efforts on the second dose, so please come forward for the second jab as it could be a life-saving extra boost of protection" portray a strong, urgent call to action. The direct and compelling language is intended to drive immediate action from the public.
More than 80 million vaccines administered across the UK	Moderate	The government announcement encourages the public to get vaccinated, highlighting the positive outcomes of the vaccination program and the freedoms it allows, such as not having to quarantine after travel from amber list countries and not needing to self-isolate after contacting a COVID-19 positive individual if you're double-vaccinated. However, the language remains more descriptive than directive, hence the classification of a moderate call to action.
Most vulnerable to be offered COVID-19 booster vaccines from next week	Strong	The announcement contains a strong call to action, whereby the Health and Social Care Secretary, Sajid Javid, strongly urges all those eligible to get their COVID-19 and flu vaccines as soon as they can. He emphasizes this is to ensure the strongest possible protection over the winter months. Further, the announcement encourages individuals not to wait for a possible co-administration of the vaccines, advising them to take up the offer of each vaccine when they receive it, thereby advocating immediate action.
Uptake of COVID-19 vaccine doses soars in week before Christmas	Strong	The announcement includes several instances of compelling and direct language aimed at the public urging them to get vaccinated. Statements such as "Get Boosted Now", "it is vital to get a first and second jab", "let’s build on that momentum and ensure we have the protection we need this winter", and "I urge everyone eligible to take advantage of our accelerated programme and get their booster booked in as soon as possible" demonstrate a strong call to action. The narrative conveys urgency, emphasizes the importance of vaccination not just for self-protection, but also for the safety of others and the community at large. The announcement emphasizes the convenience and availability of vaccination appointments, promoting the readers to act immediately.
Armed Forces to support vaccination programme in Wales	Moderate	The announcement constitutes a moderate call to action, as it urges eligible people to take the vaccine. The statement, "I urge anyone eligible to take up the offer of a vaccine" is a clear instruction to the public to play their part in combating the virus, emphasizing the need for action; however, the language used is not pressing nor urgent, placing it under moderate pressure. The rest of the announcement mainly discusses government actions and plans, without demanding further action from the public.
British envoy pays courtesy visit to Prime Minister Sogavare	None	The announcement does not contain any urging for the public or reader to partake in a specific action. Rather, it focuses on providing information about a meeting between the British High Commissioner and the Prime Minister of Solomon Islands, discussing the UK's experience with the COVID-19 vaccines and the arrival of the first batch of vaccines in the Solomon Islands. Some supportive attitudes towards vaccination are shown, but the public is not directly urged to get vaccinated.
UK marks one year since deploying world's first COVID-19 vaccine	Strong	The announcement contains a clear and strong call to action, urging the public to get vaccinated, specifically to get their booster jab as soon as they are eligible. Several key figures – the Health and Social Care Secretary, Prime Minister, and Vaccines Minister – explicitly urge the public, emphasizing the importance of this action in the fight against COVID-19, the newly emerged Omicron variant, and ensuring a safe and healthy Christmas. Additionally, the call to action promotes the uptake of flu vaccines for eligible individuals. The use of compelling language, the frequency of the urging, and the access to the vaccinations make it a strong call to action.
Guidance updated to allow flexibility in booster programme for most vulnerable	Moderate	The announcement uses language that encourages the public to act, without displaying a strict sense of urgency. This is conveyed when the announcement mandates vulnerable individuals to get their COVID-19 booster vaccination to increase their protection over the winter. Additionally, encouragement is also shown in the statement urging those eligible for free flu vaccines to book their appointments, indicating a moderate call for action. Furthermore, there is a suggestion for the public to book their COVID-19 booster jabs if they are not contacted within a week of reaching 6 months after the second dose. Lastly, a call to action is inferred in Vaccines Minister Maggie Throup's plea for eligible individuals to book their COVID-19 booster vaccine as soon as possible.
JCVI issues updated advice on COVID-19 vaccination of young people aged 16 to 17	Moderate	This government announcement encourages action from the younger demographic, emphasizing the importance of taking the first dose of the COVID-19 vaccine. It suggests that young people should be vaccinated, especially if they have certain health conditions or live with an immunosuppressed person. The announcement also advises young people on what steps to take if they experience certain post-vaccination symptoms. However, the language used is moderate in its urgency and does not insist that immediate action must be taken by all. The call to action is more advice-oriented than a mandate.
Minister for Asia visits Thailand to discuss trade and security ties and welcome UK vaccine cooperation	None	The announcement is informative in nature, primarily detailing specific activities, discussions, and partnerships affected by Minister Milling's visit to Thailand, also touching on the ongoing situation in Myanmar. However, no direct call to action is made to the public or readers within the announcement. No explicit pleas or commands for the readers to participate or respond are present. The only instruction given is for media to contact the FCDO Communication Team for inquiries, however, this cannot be classified as a call to action to the general public.
Letter from the Health and Social Care Secretary on COVID-19 vaccination phase 1 advice	None	The announcement merely talks about letters between governmental and health officials, so it does not request or encourage the reader or public to do anything. It is focused on providing information with no direct or indirect call to action.
Children aged 6 months to 4 years in clinical risk groups to be offered COVID-19 vaccine, says JCVI	Moderate	The announcement contains a clear but somewhat indirect call to action, urging parents of the vulnerable children aged 6 months to 4 years to be ready for their invitation for vaccination and bring their children once contacted. However, the language used is not strongly compelling or demanding immediate action. Rather, the announcement offers guidance and encouragement for parents to take necessary actions once the health professionals initiate contact.
UN HRC52: Statement on access to COVID-19 vaccines	None	The announcement does not include any statements directed at the public or the reader, urging them to take specific actions. It, instead, focuses on explaining the government's response to the COVID-19 vaccine access and distribution, as well as their commitment to enhancing global vaccine manufacturing capacity. It also poses a question to the director but does not invite the reader or the public to participate or respond in any way.
British High Commission welcomes the start of COVID-19 vaccinations in Fiji	None	The announcement does not include any explicit request or suggestion for the public or readers to take specific action. Instead, it focuses on offering information about the vaccine rollout in Fiji, the UK's support for COVAX, the efforts to provide global access to the vaccine, and the projected amount of doses Fiji will receive. There are no directives or guidelines targeting the public or the reader that would infer a call to action.
Government welcomes the MHRA review into Pfizer and BioNTech vaccine	Moderate	The announcement places emphasis on an ongoing call to action by stressing the public's responsibility to follow health guidelines even as vaccine development progresses. It instructs people to wash their hands regularly, wear face masks, and practice social distancing. However, the sense of urgency is moderated by the positive news of the vaccine development and the confidence in its deployment. There's no urging for immediate action but rather a continued endorsement of existing safety measures. Therefore, it is a moderate call to action.
First real-world UK data shows Pfizer-BioNTech vaccine provides high levels of protection from the first dose	Moderate	The announcement from the government and PHE urges individuals to continue following protection measures even after vaccination. It also motivates people to get vaccinated by highlighting the vaccine's effectiveness. However, the language used to recommend these actions is not very direct or forceful, hence why it would be classified as a moderate call to action. The specific calls to action include Health Secretary Matt Hancock's urging for the public to continue adhering to the rules and Dr. Mary Ramsay's urging for individuals to continue usual precautions despite vaccination.
New campaign launches urging the public to get COVID-19 vaccine	Strong	This announcement uses the strong urgency and direct language connoting a strong call to action. It explicitly urges people who are to be offered vaccines in the second phase of the roll-out to get their jabs. Phrases such as "get their COVID-19 vaccine when their turn comes," "take up the offer of a vaccine when it comes," "continue on the path back to normality," and "book their vaccine when given the opportunity" clearly illustrate the appeal to the public to be part of the vaccine campaign when offered. Furthermore, it showcases the stories of individuals who have received the vaccine, thereby giving a motivational angle for others to follow suit. The repetition of these calls across the announcement intensifies the level of urgency.
Taking steps to bring about a healthier, safer and fairer world	Moderate	This announcement doesn't directly address the public or reader with strong calls to action, but it consists several statements urging for collective action and larger-scale changes. The call to action is directed more towards member states to increase their funding and consider necessary reforms for WHO. However, a generalized appeal is made towards the end, encouraging "other vaccine suppliers to follow the UK approach". On a public level, this could imply supporting these efforts and advocating for fair vaccine distribution.
Over half of UK adults vaccinated with second dose	Strong	The government announcement actively urges the public to get vaccinated, emphasizing the need for both doses of the COVID-19 vaccine for ultimate protection against the virus and its variants. This is evident in phrases like "Public urged to come forward for second doses," "I encourage everyone who is eligible to join the millions who have the fullest possible protection from this virus," and "If you’ve had one dose, please come back for your second jab when you get the offer." These are direct and compelling requests demanding immediate action from the public, thus classifying this announcement as a strong call to action.
Most vulnerable could be offered booster COVID-19 vaccines from September	Moderate	The announcement encourages the public to take action with some urgency, particularly urging people to get their vaccinations and booster shots. Statements like "Vaccines are the best way to stay on top of this virus and I urge everybody to take up the offer as soon as possible." and "Everyone over the age of 18 and over is eligible to get a vaccine." directly implore the reader to get vaccinated. However, the language isn't extremely compelling or urgent, hence a moderate call to action.
Latest REACT-1 study findings show COVID-19 infection rates 3 times lower for double vaccinated people	Strong	The announcement strongly urges the public to take immediate action. It repeatedly encourages everyone to get vaccinated and exercise personal responsibility for both their own health and those around them as society opens up. Vaccine Deployment Minister Nadhim Zahawi and Health and Social Care Secretary Sajid Javid directly request the public to take action, with Javid emphasizing the necessity of the second jab and Zahawi urging everyone to get both doses when invited. Moreover, those who are double jabbed and experiencing symptoms are asked to continue testing. Therefore, considering the explicit, direct, and recurring instructions for public action, this can be categorized as a 'Strong'.
New study to test third COVID-19 vaccine for people with weakened immune systems	None	This government announcement serves mainly to inform its audience about the upcoming OCTAVE DUO trial in response to the results of the OCTAVE trial, targeting specific at-risk groups for a possible third dose of the COVID-19 vaccine, due to their lower antibody responses. It provides details about the trial, the lead institutions, the reasons for launching it, and the patient groups involved, without encouraging individual reader participation or action at any point. It informs about government's actions and plans, but does not explicitly ask the reader to take any specific action.
JCVI publishes advice on COVID-19 vaccines for autumn booster programme	Strong	The announcement has a strong call to action as it clearly invites the public to take immediate action - emphasizing the importance of getting the autumn booster vaccine as a preventive measure ahead of the winter season. This is evident from the statements, "It is important that everyone who is eligible takes up a booster this autumn, whichever vaccine is on offer..." and "The booster is being offered to those at higher risk of severe illness and by taking up the booster vaccine this autumn, you will increase your protection...". Both authorities quoted in the announcement emphasize the need for eligible individuals to take the booster shots.
Government injects funding boost for cutting-edge vaccine site in Darlington	None	The announcement does not urge the public or reader to take any specific action. It primarily provides information about government investment and intentions, detailing the government’s support for advancements in RNA technology and the development of future vaccines. The aim seems to be to inform the readers of the government's efforts and plans concerning these issues, rather than compelling them to do anything in particular.
A vaccine delivery plan for everyone	Weak	Although the government announcement outlines the rollout plan for the COVID-19 vaccine, it only passively mentions the public's involvement once: "It bears repeating, Madam Deputy Speaker, that when it is their turn we want as many people as possible to take up the offer of a vaccine against COVID-19." This statement implies the public should take action by getting vaccinated, but it isn't particularly direct, compelling, or urgent. Most of the announcement is spent providing information on the government's plans.
